0,0,0.691,302.0,163.0,458.2,299.1
0,2,0.738,735.1,167.4,934.9,372.5
0,1,0.940,1108.4,166.9,1205.8,324.9
1,0,0.788,294.4,160.3,451.1,285.4
1,2,0.705,737.4,158.4,941.4,371.8
1,1,0.778,1137.3,161.0,1227.7,328.8
2,0,0.814,293.6,151.6,446.6,271.2
2,2,0.558,752.9,149.9,943.3,374.0
2,1,0.945,1148.2,150.4,1218.6,330.2
3,0,0.614,290.9,144.5,447.7,266.8
3,1,0.588,1150.0,147.7,1238.3,322.8
4,0,0.772,293.6,145.3,445.7,269.4
4,2,0.643,765.3,139.9,960.0,372.9
4,1,0.619,1178.6,150.6,1241.0,330.4
5,0,0.643,286.5,148.3,444.6,269.5
5,0,0.582,368.7,157.6,453.2,202.0
6,2,0.831,764.2,147.3,962.9,374.0
6,0,0.929,384.9,163.7,460.2,202.9
7,2,0.866,767.7,149.6,965.3,374.0
7,0,0.812,390.4,161.1,475.9,205.2
8,0,0.691,285.7,157.1,433.8,269.1
8,2,0.631,762.6,153.3,973.6,370.2
8,0,0.756,392.4,170.4,480.3,205.3
9,0,0.694,408.8,172.9,494.0,214.4
10,2,0.863,760.0,158.8,970.8,373.5
10,0,0.949,410.9,171.0,499.5,214.8
11,0,0.683,283.6,155.1,426.6,274.3
11,2,0.890,759.7,155.4,968.9,372.9
11,0,0.590,417.1,171.0,504.1,213.2
12,0,0.514,279.5,155.1,424.3,270.6
12,2,0.920,758.8,153.6,955.1,374.0
12,0,0.640,428.3,175.5,518.1,214.5
13,0,0.602,276.5,157.6,421.5,273.6
13,2,0.581,750.6,155.3,952.7,374.0
14,0,0.946,278.0,165.1,422.6,267.8
14,2,0.673,756.5,154.1,949.3,374.0
15,0,0.623,282.2,160.5,420.6,267.7
15,2,0.597,746.9,163.5,945.3,374.0
15,0,0.593,444.7,164.3,534.6,211.3
16,2,0.764,737.1,162.8,933.2,373.1
16,0,0.754,451.2,166.8,541.7,216.5
17,0,0.923,277.6,157.3,406.3,262.8
17,2,0.933,739.5,172.9,938.6,374.0
17,0,0.853,459.0,164.6,552.6,214.1
