0,0,0,0.691,302.0,163.0,458.2,299.1
0,1,2,0.738,735.1,167.4,934.9,372.5
0,2,1,0.940,1108.4,166.9,1205.8,324.9
1,1,2,0.728,737.4,158.4,941.4,371.8
1,0,0,0.720,294.4,160.3,451.1,285.4
1,2,1,0.891,1137.3,161.0,1227.7,328.8
2,1,2,0.677,752.9,149.9,943.3,374.0
2,0,0,0.748,293.6,151.6,446.6,271.2
2,2,1,0.907,1148.2,150.4,1218.6,330.2
3,0,0,0.708,290.9,144.5,447.7,266.8
3,2,1,0.812,1150.0,147.7,1238.3,322.8
4,0,0,0.727,293.6,145.3,445.7,269.4
4,1,2,0.667,765.3,139.9,960.0,372.9
4,2,1,0.754,1178.6,150.6,1241.0,330.4
5,0,0,0.702,286.5,148.3,444.6,269.5
5,3,0,0.582,368.7,157.6,453.2,202.0
6,1,2,0.716,764.2,147.3,962.9,374.0
6,3,0,0.686,384.9,163.7,460.2,202.9
7,1,2,0.761,767.7,149.6,965.3,374.0
7,3,0,0.724,390.4,161.1,475.9,205.2
8,1,2,0.722,762.6,153.3,973.6,370.2
8,0,0,0.699,285.7,157.1,433.8,269.1
8,3,0,0.734,392.4,170.4,480.3,205.3
9,3,0,0.722,408.8,172.9,494.0,214.4
10,1,2,0.764,760.0,158.8,970.8,373.5
10,3,0,0.790,410.9,171.0,499.5,214.8
11,1,2,0.802,759.7,155.4,968.9,372.9
11,0,0,0.694,283.6,155.1,426.6,274.3
11,3,0,0.730,417.1,171.0,504.1,213.2
12,0,0,0.640,279.5,155.1,424.3,270.6
12,1,2,0.837,758.8,153.6,955.1,374.0
12,3,0,0.703,428.3,175.5,518.1,214.5
13,1,2,0.760,750.6,155.3,952.7,374.0
13,0,0,0.629,276.5,157.6,421.5,273.6
14,1,2,0.734,756.5,154.1,949.3,374.0
14,0,0,0.724,278.0,165.1,422.6,267.8
15,0,0,0.694,282.2,160.5,420.6,267.7
15,1,2,0.693,746.9,163.5,945.3,374.0
